"","cruise","date_mdy","time_local","station","cast","niskin","depth","date_ymdThms","latitude","longitude","pressure","temperature","salinity","sigmatheta","oxygen_conc","n2o_id","run_date","run_id","d15Na","d15Nb","SP","d15Nbulk","d17O","d18O","n2o_conc","n2o_id_notsure","n2o_at_saturation","n2o_sat_percentage","no2_conc","d15N_no2","d18O_no2","no3_conc","d15N_no3","d18O_no3"
"1","ETNP 2017 HoHoHoDZ (Nicole)","12/24/16","","1",3,1,1500,"2106-12-24T18:51:19",22.66544,-109.344,1483.189,2.9926,34.5837,27.5435,39.329,29,171024,"bottleID_0029",20.91,-1.24,22.15,9.83,29.85,58.65,46.53,8,13.7805496091889,337.649813103054,0,NA,NA,43.35,6.47,2.68
"2","ETNP 2017 HoHoHoDZ (Nicole)","12/24/16","","1",3,2,1250,"2106-12-24T18:51:19",22.66544,-109.344,1262.528,3.4976,34.5598,27.4773,24.989,31,171024,"bottleID_0031",20.74,-1.79,22.53,9.47,29.74,58.43,52.82,10,13.5180330018842,390.737320974417,0,NA,NA,43.98,7.26,2.98
"3","ETNP 2017 HoHoHoDZ (Nicole)","12/24/16","","1",3,3,1000,"2106-12-24T18:51:19",22.66544,-109.344,1008.717,4.3385,34.5219,27.3615,9.752,33,171024,"bottleID_0033",19.1,-1.83,20.92,8.64,29.75,58.45,62.9,12,13.0959796795595,480.300073297883,NA,NA,NA,44.38,7.29,3.94
"4","ETNP 2017 HoHoHoDZ (Nicole)","12/24/16","","1",3,4,850,"2106-12-24T18:51:19",22.66544,-109.344,857.646,4.965,34.4998,27.2746,4.877,35,171023,"bottleID_0035",17.64,-1.29,18.94,8.17,29.68,58.32,68.68,14,12.7929510424255,536.858147680198,0,NA,NA,43.82,8,5.21
"5","ETNP 2017 HoHoHoDZ (Nicole)","12/24/16","","1",3,6,650,"2106-12-24T18:51:19",22.66544,-109.344,655.363,6.2531,34.4909,27.1101,1.131,37,171023,"bottleID_0037",17.51,-0.35,17.85,8.58,31.19,61.34,64.11,16,12.1975145426332,525.598881443595,0,NA,NA,39.65,9.61,7.3
"6","ETNP 2017 HoHoHoDZ (Nicole)","12/24/16","","1",3,7,500,"2106-12-24T18:51:19",22.66544,-109.344,503.484,7.4774,34.4862,26.9397,1.244,39,171023,"bottleID_0039",17.9,1.94,15.96,9.92,30.71,60.37,61.12,18,11.6668437665161,523.87776182805,0,NA,NA,34.87,11.58,9.19
"7","ETNP 2017 HoHoHoDZ (Nicole)","12/24/16","","1",3,10,400,"2106-12-24T18:51:19",22.66544,-109.344,403.034,8.5988,34.5181,26.7974,1.559,41,171023,"bottleID_0041",19.16,3.42,15.75,11.29,30.93,60.81,54.37,20,11.2067101053737,485.155763723461,NA,NA,NA,31.43,13.65,11.19
"8","ETNP 2017 HoHoHoDZ (Nicole)","12/24/16","","1",3,12,350,"2106-12-24T18:51:19",22.66544,-109.344,351.071,9.5322,34.5676,26.6863,1.126,43,171020,"bottleID_0043",19.64,4.61,15.04,12.12,30.72,60.39,43.96,22,10.8417409007346,405.469937000812,NA,NA,NA,28.57,15.53,13.32
"9","ETNP 2017 HoHoHoDZ (Nicole)","12/24/16","","1",3,14,325,"2106-12-24T18:51:19",22.66544,-109.344,326.694,10.0045,34.5914,26.6256,1.207,45,171020,"bottleID_0045",20.54,5,15.54,12.77,30.99,60.93,38.55,24,10.6635683025728,361.511258765969,0,NA,NA,27.01,16.55,13.91
"10","ETNP 2017 HoHoHoDZ (Nicole)","12/24/16","","1",3,16,300,"2106-12-24T18:51:19",22.66544,-109.344,302.724,10.5438,34.6403,26.5703,1.041,47,171020,"bottleID_0047",20.46,6.25,14.21,13.35,31.27,61.49,37.49,26,10.4639337617342,358.278261824421,NA,NA,NA,25.9,17.07,14.68
"11","ETNP 2017 HoHoHoDZ (Nicole)","12/24/16","","1",3,18,275,"2106-12-24T18:51:19",22.66544,-109.344,277.321,10.9746,34.6503,26.5016,2.844,49,171020,"bottleID_0049",19.92,6.79,13.14,13.35,30.41,59.78,34.36,28,10.3099393083026,333.270633051447,0,NA,NA,25.34,16.83,14.55
"12","ETNP 2017 HoHoHoDZ (Nicole)","12/24/16","","1",3,20,250,"2106-12-24T18:51:19",22.66544,-109.344,252.355,11.4312,34.6735,26.4364,3.542,51,171020,"bottleID_0051",19.34,7.3,12.04,13.32,30.08,59.11,33.16,30,10.1495505396502,326.713974874623,NA,NA,NA,24.84,16.61,14.18
"13","ETNP 2017 HoHoHoDZ (Nicole)","12/24/16","","1",3,22,200,"2106-12-24T18:51:19",22.66544,-109.344,202.531,12.6284,34.7486,26.2666,12.133,53,171023,"bottleID_0053",17.96,5.51,12.44,11.73,28.54,56.06,40.87,32,9.74494994024187,419.396715741216,NA,NA,NA,24.66,14.46,11.81
"14","ETNP 2017 HoHoHoDZ (Nicole)","12/24/16","","1",3,23,150,"2106-12-24T18:51:19",22.66544,-109.344,151.834,13.3667,34.6577,26.0492,18.476,55,171023,"bottleID_0055",15.64,5.39,10.26,10.52,26.68,52.35,46.97,34,9.51407184379754,493.689776271985,NA,-0.487471055,16.20023556,23.88,13.13,11.08
"15","ETNP 2017 HoHoHoDZ (Nicole)","12/24/16","","1",2,2,140,"2106-12-24T16:24:43",22.66624,-109.348,141.571,14.2159,34.7262,25.9256,29.556,7,171030,"bottleID_0007",14.87,5.13,9.74,10,27.21,53.41,44.15,36,9.24965459262381,477.315120882543,0,NA,NA,23.63,12.619,9.478
"16","ETNP 2017 HoHoHoDZ (Nicole)","12/24/16","","1",2,3,120,"2106-12-24T16:24:43",22.66624,-109.348,120.819,15.0024,34.7014,25.7372,37.992,9,171030,"bottleID_0009",14.09,4.4,9.69,9.25,27.36,53.71,44.92,38,9.01848851400542,498.087899432823,0,NA,NA,22.33,12.257,9.159
"17","ETNP 2017 HoHoHoDZ (Nicole)","12/24/16","","1",2,5,100,"2106-12-24T16:24:43",22.66624,-109.348,100.629,16.697,34.7999,25.4284,58.186,11,171030,"bottleID_0011",13.97,3.42,10.55,8.69,27.6,54.17,40.98,40,8.54162770633194,479.768041981289,0.024,NA,NA,20.03,11.941,7.597
"18","ETNP 2017 HoHoHoDZ (Nicole)","12/24/16","","1",2,6,90,"2106-12-24T16:24:43",22.66624,-109.348,90.084,17.5075,34.7705,25.2128,65.973,13,171030,"bottleID_0013",12.78,3.26,9.53,8.02,27.4,53.78,41.06,42,8.3299966572543,492.917364669556,0.011,NA,NA,18.23,11.675,7.105
"19","ETNP 2017 HoHoHoDZ (Nicole)","12/24/16","","1",2,7,70,"2106-12-24T16:24:43",22.66624,-109.348,70.211,20.7688,34.6852,24.3132,161.923,15,171030,"bottleID_0015",11.66,3.22,8.44,7.44,25.94,50.89,23.11,44,7.55205351217366,306.009484211777,0.311,3.928382332,14.46620865,5.21,11.694,7.408
"20","ETNP 2017 HoHoHoDZ (Nicole)","12/24/16","","1",2,8,60,"2106-12-24T16:24:43",22.66624,-109.348,60.052,19.7367,33.9606,24.035,225.203,17,171024,"bottleID_0017",14.41,0.62,13.79,7.52,24.88,48.78,16.53,46,7.81654903383581,211.474397824998,0.167,4.679678918,14.26247729,0.2,10.664,13.557
"21","ETNP 2017 HoHoHoDZ (Nicole)","12/24/16","","1",2,9,55,"2106-12-24T16:24:43",22.66624,-109.348,55.545,19.9682,33.9457,23.9634,228.16,19,171024,"bottleID_0019",14.8,-0.16,14.96,7.32,24.75,48.51,15.2,48,7.76324601198831,195.794387766761,0.048,NA,NA,0,NA,NA
"22","ETNP 2017 HoHoHoDZ (Nicole)","12/24/16","","1",2,10,50,"2106-12-24T16:24:43",22.66624,-109.348,50.449,20.8474,33.8843,23.6834,230.509,21,171024,"bottleID_0021",14.91,0,14.91,7.45,24.31,47.65,13.06,50,7.56595751067217,172.615296630707,0,NA,NA,0,NA,NA
"23","ETNP 2017 HoHoHoDZ (Nicole)","12/24/16","","1",2,12,40,"2106-12-24T16:24:43",22.66624,-109.348,40.341,22.6911,34.1885,23.4043,218.365,23,171030,"bottleID_0023",15.47,-0.37,15.83,7.55,23.77,46.59,10.82,52,7.16046759088568,151.107450214179,0.024,NA,NA,0,NA,NA
"24","ETNP 2017 HoHoHoDZ (Nicole)","12/24/16","","1",2,13,20,"2106-12-24T16:24:43",22.66624,-109.348,20.28,23.7718,34.4453,23.2875,212.052,25,171024,"bottleID_0025",16.35,-1.73,18.08,7.31,23.83,46.69,9.62,54,6.93513731951046,138.713907984724,0,NA,NA,0,NA,NA
"25","ETNP 2017 HoHoHoDZ (Nicole)","12/24/16","","1",2,14,0,"2106-12-24T16:24:43",22.66624,-109.348,3.143,23.7868,34.3864,23.2395,212.248,27,171024,"bottleID_0027",17.2,-1.9,19.1,7.65,23.71,46.47,9.18,56,6.93429499208509,132.38548418373,0.024,NA,NA,NA,NA,NA
"26","ETNP 2017 HoHoHoDZ (Nicole)","12/24/16","","2",4,2,1000,"2106-12-25T00:56:14",21.99352,-109.095,1009.859,4.434,34.5242,27.3467,8.693,57,171023,"bottleID_0057",18.43,-1.01,19.43,8.71,29.46,57.88,63.2,58,13.0487135395,484.338933556065,0,NA,NA,44.35,7.5,3.72
"27","ETNP 2017 HoHoHoDZ (Nicole)","12/24/16","","2",4,3,850,"2106-12-25T00:56:14",21.99352,-109.095,856.878,5.0812,34.4957,27.2518,4.966,59,171023,"bottleID_0059",17.73,-0.97,18.7,8.38,29.63,58.22,69.67,60,12.7378278183406,546.953538653471,0,NA,NA,42.85,8.02,4.6
"28","ETNP 2017 HoHoHoDZ (Nicole)","12/24/16","","2",4,4,650,"2106-12-25T00:56:14",21.99352,-109.095,656.276,6.2484,34.4914,27.1051,1.22,61,170928,"bottleID_0061",16.16,0.24,15.92,8.2,30.32,59.6,66.2,62,12.1995830237591,542.641497427194,0,NA,NA,39.4,9.6,6.98
"29","ETNP 2017 HoHoHoDZ (Nicole)","12/24/16","","2",4,5,500,"2106-12-25T00:56:14",21.99352,-109.095,502.317,7.6717,34.4898,26.908,1.59,63,170928,"bottleID_0063",17.31,2.82,14.49,10.06,30.63,60.22,58.75,64,11.5853518624003,507.105875572674,0.07,NA,NA,34.72,11.88,9.27
